"id","sector","pregunta","orden","visible"
"pr001","Seguridad","¿Continuar la paz total?","","si"
"pr002","Seguridad","¿Cómo contener los cultivos de coca?","","si"
"pr003","Seguridad","¿Qué hacer con la crisis carcelaria?","","si"
"pr004","Seguridad","¿Bombardeos a campamentos?","","si"
"pr005","Salud","¿Qué hacer con las EPS?","","si"
"pr006","Salud","¿Qué hacer frente a la crisis de medicamentos?","","si"
"pr007","Salud","¿Cómo enfrentar la crisis financiera del sector?","","si"
"pr008","Salud","¿Cómo potenciar el talento humano en salud?","","si"
"pr009","Salud","¿Qué hacer con la UPC (Unidad de Pago por Capitación) que gira el Estado por persona?","","si"
"pr010","Energía","¿Firmar nuevos contratos de exploración y producción de petróleo, gas y carbón?","","si"
"pr011","Energía","¿A favor o en contra del fracking?","","si"
"pr012","Energía","¿Qué busca hacer con Ecopetrol?","","si"
"pr013","Energía","¿Cuál es su postura sobre la transición energética?","","si"
"pr014","Energía","¿Qué busca hacer con el alto costo de las tarifas en el Caribe?","","si"
"pr015","Energía","¿Cuál es su postura frente a la gran minería?","","si"
"pr016","Tierras y Agro","¿Darle continuidad a la Reforma Agraria?","","si"
"pr017","Tierras y Agro","¿Qué propone sobre créditos rurales?","","si"
"pr018","Tierras y Agro","¿Qué propone sobre la titluación y entrega de tierras?","","si"
"pr019","Tierras y Agro","¿Qué busca hacer para garantizar el acceso a fertilizantes?","","si"
