"id","candidato_id","tema","subtema","titulo","descripcion","fuente","semaforo","semaforo_burbuja","alerta_explicacion","fecha_actualizacion","visible","","","","","","","","","","","","","",""
"p001","cepeda","Seguridad","Paz","Cumplimiento de los acuerdos de paz del 2016","Culminar y extender la implementación integral del Acuerdo Final de Paz con las FARC. Ratificar la Declaración Unilateral (el compromiso de Colombia con el acuerdo) y buscar una prórroga por cuatro años.","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","amarillo","","","2026-04-29","si","","","","","","","","","","","","","",""
"p002","cepeda","Seguridad","Paz","Articulación de política de seguridad con transformaciones sociales","La apuesta es que sea el desarrollo social y el cierre de brechas de desigualdad lo que impulse la reducción de delitos. Se plantea profundizar los pactos regionales que ya ha realizado el gobierno nacional en Cauca, Nariño, Chocó y Catatumbo.","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","rojo","","La Fundación presentó acción de inconstitucionalidad contra una disposición de la Ley de Paz Total que incorporaba de manera automática al bloque de constitucionalidad, las disposiciones de carácter humanitario contenidas en los acuerdos de paz. La Corte Constitucional mediante la Sentencia C-036 de 2025 declaró inconstitucional la norma demandada. También señaló la naturaleza política de los acuerdos, por lo que deben implementarse por los medios constitucionales y legales establecidos. [Ver la acción y sentencia](https://drive.google.com/drive/folders/1V5SfzL1zVZ4U_zHlH9jrMYpquccJF7ZK?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p003","cepeda","Seguridad","Control territorial","Seguridad en las regiones","Se llevarán las instituciones dedicadas a la seguridad a las regiones con una mirada integral de la protección de los territorios. Se plantea fortalecer los sistemas de alerta temprana, el monitoreo participativo, y las respuestas integradas al igual que dar cumplimiento a los Acuerdos de Paz de La Habana y llevar la Comisión Nacional de Garantías a los territorios.","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","","","La Fundación ha presentado acciones populares por la defensa de la seguridad pública y la paz solicitando entre otros, la coordinación interinstitucional y la presencia de la Fuerza Pública en los departamentos de Antioquia, Arauca, Bolívar, Casanare, Cauca, Chocó, Guaviare, Huila, Norte de Santander, Santander y Valle del Cauca. [Ver acciones populares](https://drive.google.com/drive/folders/1jyVEmRexKjFVDu78uPhRjpAPoJCGOjMw?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p004","cepeda","Seguridad","Economías ilegales","Prevención del reclutamiento por grupos armados ilegales","Para prevenir el reclutamiento a las estructuras de crimen organizado se unificarán y fortalecerán las gerencias de Jóvenes en Paz y el Servicio Social para la Paz con mayor presupuesto para cortar el reclutamiento de jóvenes y niños.","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","","","La Fundación presentó acción popular por la defensa de los niños, niñas y adolescentes ante el reclutamiento forzado por parte de grupos armados al margen de la ley. [Ver acción popular](https://drive.google.com/drive/folders/1YzfPyXsAc6WoVeQxmQPclTpnIvH1zq2N?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p005","cepeda","Seguridad","Economías ilegales","Tecnología contra la extorsión","Diseñar estrategias tecnológicas, rápidas y efectivas para combatir la extorsión de pequeños y medianos comerciantes.","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p006","cepeda","Seguridad","Política de drogas","Lucha contra las drogas","Reenfocar la lucha contra las drogas protegiendo los eslabones más débiles de los circuitos económicos campesinos, proponiendo la legalización industrial de la marihuana y la hoja de coca para permitirle al Estado mayor participación en ese mercado y desplazar a las mafias y consolidando la restitución de cultivos.","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p007","cepeda","Seguridad","Fuerza Pública","Cuidado de los miembros de la Fuerza Pública","Se velará por el cuidado de los miembros de la Fuerza Pública democratizando las políticas de ascensos, nivelando gradualmente la brechas salariales, y proponiendo una nueva ley de veteranos que asegure garantías de retorno a la vida civil. Además se proponen controles de salud mental y física para todos los eslabones de la fuerza.","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p008","cepeda","Seguridad","Paz","Soluciones a la violencia en Buenaventura","El candidato propone 14 puntos concretos para solucionar la violencia en Buenaventura que incluyen acuerdos y proyectos de infraestructura, impulsos a la industria, educación y generación de empleo.","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p009","espriella","Seguridad","Control territorial","90 decretos de emergencia en 90 días","Retomar el control territorial de Colombia en los primeros tres meses de gobierno mediante la firma de 90 decretos de emergencia. Uno de los objetivos es restablecer el orden en las zonas donde grupos criminales tienen influencia.","https://defensoresdelapatria.com/abelardo-de-la-espriella-firmara-90-decretos-para-enderezar-a-colombia/","amarillo","","La Fundación ha presentado intervenciones ante la Corte Constitucional en el marco de los procesos de control automático de constitucionalidad tanto para los decretos de conmoción interior, como de emergencia económica, social y ecológica.
[Ver intervenciones](https://drive.google.com/drive/folders/1AFy4sxfS7YahcchirF1aktlRVFA25gQu?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p010","espriella","Seguridad","Economías ilegales","Reinicio de bombardeos","Autorizar nuevamente bombardeos aéreos contra campamentos de grupos narcoterroristas y estructuras de minería ilegal.","https://www.elnuevosiglo.com.co/politica/de-la-espriella-promete-bombardear-campamentos-narco-con-respaldo-de-ee-uu","rojo","","","2026-04-29","si","","","","","","","","","","","","","",""
