"id","pregunta_id","candidato_id","respuesta","visible"
"r001","pr001","cepeda","Sí, pero con quienes no ataquen a la población civil y exigiendo avances concretos. ","si"
"r002","pr002","cepeda","Sustitución voluntaria y promoción de una ley de ""legalización regulada"" de la hoja de coca.","si"
"r003","pr003","cepeda","No lo menciona en sus propuestas.","si"
"r004","pr004","cepeda","No","si"
"r005","pr005","cepeda","Profundizar el modelo de salud propuesto por el Gobierno de Gustavo Petro en el que las EPS dejan de ser intermediarias.","si"
"r006","pr006","cepeda","Centralizar la compra de medicamentos e impulsar el renacer de la industria farmacéutica nacional.","si"
"r007","pr007","cepeda","No tiene ninguna propuesta concreta.","si"
"r008","pr008","cepeda","Aumentar los cupos en universidades públicas, con un enfoque preventivo y humano, y un plan que lleve a profesionales a todos los territorios.","si"
"r009","pr009","cepeda","No lo menciona en sus propuestas.","si"
"r010","pr010","cepeda","No es claro en sus propuestas; lo deja abierto.","si"
"r011","pr011","cepeda","En contra","si"
"r012","pr012","cepeda","No lo menciona en sus propuestas.","si"
"r013","pr013","cepeda","Direccionamiento estatal de la transición y una descarbonización acelerada","si"
"r014","pr014","cepeda","Producir más energía solar para reducir las tarifas","si"
"r015","pr015","cepeda","No impulsar la gran minería y ponerse del lado de las comunidades que se opongan a grandes proyectos mineros.","si"
"r016","pr016","cepeda","Sí, profundizarla.","si"
"r017","pr017","cepeda","Recuperar las instituciones agrarias para que el Estado les dé créditos a los campesinos.","si"
"r018","pr018","cepeda","Redistribuir tierras fértiles concentradas y subutilizadas y restituir tierras despojadas a comunidades campesinas.","si"
"r019","pr019","cepeda","No lo menciona en sus propuestas.","si"
"r020","pr001","espriella","No, se acaban todas las mesas. ","si"
"r021","pr002","espriella","Erradicación masiva y fumigación aérea.","si"
"r022","pr003","espriella","Construir de 7 a 10 megacárceles.","si"
"r023","pr004","espriella","Sí","si"
"r024","pr005","espriella","Volver al modelo anterior al Gobierno Petro y hacer más eficientes las EPS imponiendo un tope a los costos de administración. ","si"
"r025","pr006","espriella","Recuperar el acceso oportuno a medicamentos.","si"
"r026","pr007","espriella","Inyectar 10 billones de pesos al sistema.","si"
"r027","pr008","espriella","Pagar salarios atrasados y darles bonificaciones por resultados.","si"
"r028","pr009","espriella","Revisar los ajustes hechos por el gobierno de Gustavo Petro ""que permitieron el desvío de recursos de dicha asignación a otros propósitos"".","si"
"r029","pr010","espriella","Sí","si"
"r030","pr011","espriella","A favor","si"
"r031","pr012","espriella","Defender la empresa como activo estratégico de la nación.","si"
"r032","pr013","espriella","Promover las energías renovables, pero priorizando la producción de energías fósiles.","si"
"r033","pr014","espriella","Revisar el esquema tarifario y buscar soluciones financieras","si"
"r034","pr015","espriella","Desarrollar las minerías de oro, cobre, plata y tierras raras y considerar la minería legal como aliado estratégico para la generación de empleo y el desarrollo.","si"
"r035","pr016","espriella","No, acabarla.","si"
"r036","pr017","espriella","Supedita los créditos a la Escuela de Emprendedores Rurales para formar a 100 mil jóvenes que tendrían acceso a créditos.","si"
"r037","pr018","espriella","Hacer una titulación masiva de tierras para legalizar predios rurales.","si"
"r038","pr019","espriella","Intervenir para bajar los precios.","si"
