"id","propuesta_id","experto_id","comentario"
"ce001","p009","exp001","La Constitución permite declarar estados de excepción con requisitos estrictos de necesidad, proporcionalidad y temporalidad. Cada declaración está sujeta al control automático de la Corte Constitucional. Emitir noventa decretos de emergencia en los primeros tres meses de gobierno desborda el diseño constitucional del estado de excepción y concentra el poder en el ejecutivo sin contrapesos legislativos ni judiciales efectivos en el corto plazo. La Corte Constitucional ha tumbado declaraciones de emergencia por no cumplir el requisito de excepcionalidad (Sentencia C-135 de 2009, entre otras)."
"ce002","p201","exp001","La Constitución de 1991 prohíbe penas perpetuas. Instaurarla requiere una reforma constitucional o un acto legislativo aprobado por medio de un referendo. Colombia es parte del Pacto Internacional de Derechos Civiles y Políticos y de la Convención Americana sobre Derechos Humanos, que exigen que las penas tengan la finalidad de resocializar. La Corte Interamericana de Derechos Humanos ha condicionado la cadena perpetua a la existencia de mecanismos de revisión de la pena."
"ce003","p010","exp001","Los bombardeos aéreos en zonas con presencia de población civil generan riesgo de violaciones al principio de distinción del DIH. La Corte Constitucional (Sentencia C-291 de 2007) y la jurisprudencia de la Corte Interamericana exigen proporcionalidad y precaución. El candidato propone bombardeos contra 'campamentos de grupos narcoterroristas y estructuras de minería ilegal', categorías que en la práctica incluyen zonas habitadas por civiles."
"ce004","p011","exp001","La Corte Constitucional condicionó la reanudación de la aspersión aérea con glifosato al cumplimiento de requisitos de salud pública, impacto ambiental y consulta previa con comunidades afectadas (Sentencia T-236 de 2017). Esos requisitos no están satisfechos. La evidencia de quince años de aspersión en Colombia muestra desplazamiento de cultivos sin reducción de la producción total, y efectos adversos en la salud de las poblaciones expuestas."
"ce005","p013","exp001","Garantizar la defensa jurídica a los miembros de la Fuerza Pública es legítimo. Formular esa garantía como eliminación del 'temor a represalias legales' sugiere una reducción de los controles sobre el uso de la fuerza. Los controles judiciales sobre la conducta de la Fuerza Pública son una garantía constitucional (artículos 217-219 de la Constitución) y una obligación internacional del Estado. Debilitarlos incrementa el riesgo de conductas ilegales y expone a los propios miembros de la Fuerza Pública a la jurisdicción penal internacional."
"ce006","p001","exp001","El Acuerdo de 2016 desmovilizó a las FARC-EP. Priorizar su implementación es legítimo. Convertirlo en el eje de la política de seguridad contra la criminalidad en el 2026 es un error de diagnóstico. Los actores que generan la mayor parte de la violencia actual —Clan del Golfo, ELN, disidencias del EMC, estructuras urbanas— no son parte del Acuerdo. La implementación del Acuerdo consume recursos políticos, fiscales y atención institucional que, si se absorben por completo en ese eje, harían falta para atender a los actores armados no firmantes. El Instituto Kroc de Notre Dame documenta que al cierre de 2024 solo el 32% de las disposiciones del Acuerdo se habían implementado completamente."
"ce007","p006","exp001","La legalización del cannabis recreativo tiene precedentes internacionales (Uruguay, Canadá) y un proyecto de acto legislativo pasó siete de ocho debates en el Congreso colombiano. La legalización de la hoja de coca, en cambio, colisiona con las convenciones de Naciones Unidas sobre estupefacientes de las que Colombia es parte (Convención Única de 1961, Convención de 1988). Denunciar esas convenciones tendría consecuencias diplomáticas, comerciales y de cooperación internacional que la propuesta no contempla."
"ce008","p024","exp001","La propuesta enfrenta las mismas restricciones constitucionales y de evidencia que la de Abelardo. La Corte Constitucional condicionó la reanudación a requisitos de salud pública, impacto ambiental y consulta previa que no están satisfechos (Sentencia T-236 de 2017). La distinción entre cultivos 'industriales' y pequeños es operativamente difícil en campo y no cambia el mecanismo de desplazamiento documentado en la evidencia."
"ce009","p173","exp001","El marco jurídico colombiano distingue entre conflicto armado (DIH) y seguridad ciudadana (derecho penal y estándares de derechos humanos). Un 'marco diferencial' que trate a organizaciones criminales como combatientes sin que cumplan los criterios del DIH carece de base jurídica. Si lo que se busca es flexibilizar las reglas de enfrentamiento contra criminales, la medida expondría al Estado y a miembros de la Fuerza Pública a responsabilidad penal internacional."
"ce010","p018","exp001","La incorporación de 30.000 militares y 30.000 policías genera un gasto rígido de largo plazo (nómina, pensiones, prestaciones). El 79% del presupuesto del Ministerio de Defensa ya se destina a costos de personal. La evidencia sobre efectividad policial muestra que el factor decisivo no es el número de uniformados sino el diseño de su despliegue: el patrullaje en zonas de alta concentración del delito y la disuasión focalizada producen resultados más consistentes que la expansión cuantitativa."
"ce011","p174","exp001","La protesta social es un derecho fundamental protegido por la Constitución (artículos 37 y 38) y por la Convención Americana sobre Derechos Humanos. La Corte Constitucional ha fijado los límites de la regulación de la protesta (Sentencia SU-546 de 2023, entre otras). El vandalismo ya está tipificado en el Código Penal. Una ley que regule la protesta tiende a ser utilizada contra la movilización legítima. Los estándares internacionales de derechos humanos (Comisión Interamericana, Relator de la ONU sobre libertad de reunión) advierten contra este tipo de legislación."
"ce012","p027","exp001","La ampliación cuantitativa del pie de fuerza policial genera compromisos fiscales de largo plazo sin garantía de mejora en resultados de seguridad. Colombia ha expandido el pie de fuerza en ciclos sucesivos sin que la reducción de violencia sea proporcional. La evidencia muestra que la efectividad policial depende del diseño de despliegue (focalización territorial, inteligencia, disuasión focalizada), no del volumen. El candidato combina esta propuesta con vigilancia comunitaria y tecnología, lo cual mitiga parcialmente el riesgo."
"ce013","p195","exp001","La propuesta de una Fiscalía Antimafia con un régimen de 'mínimas garantías y máximos controles' para los grandes criminales contradice el principio de igualdad ante la ley y las garantías del debido proceso (artículos 13 y 29 de la Constitución). Las garantías procesales no se gradúan según la gravedad del delito. Reducirlas para una categoría de acusados crea un régimen de excepción incompatible con el Estado de derecho. La experiencia italiana, que la propuesta invoca implícitamente, opera dentro del marco de garantías del derecho europeo, no fuera de él."
"ce014","p197","exp001","La estructura interna de la Fiscalía General de la Nación corresponde a la Fiscal General, que es autónoma constitucionalmente (artículo 249 de la Constitución). El ejecutivo no puede crear, reorganizar ni dirigir unidades dentro de la Fiscalía. La propuesta confunde competencias. Lo que el ejecutivo puede hacer es impulsar legislación que fortalezca la capacidad investigativa, como lo ha hecho Italia con la Direzione Nazionale Antimafia, creada por ley en 1991."
"ce015","p195","exp001","Sanción drástica a la reincidencia y uso de armas'. La formulación sugiere endurecimiento de penas como mecanismo de reducción del delito. La evidencia sobre disuasión muestra que el factor decisivo es la certeza de la sanción, no su severidad. Colombia ya tiene penas altas para delitos graves con armas. El cuello de botella es la impunidad: el 96% de las denuncias por extorsión en 2024 no avanzo en la justicia. Aumentar las penas sin aumentar la probabilidad de condena no reduce el delito. Incrementa el hacinamiento carcelario."
"ce016","p080","exp003","La bandera amarilla estaría en que sus propuestas sobre reducción tarifaria en el Caribe deben aterrizarse con mecanismos concretos: quién paga, con qué fuente fiscal, qué parte corresponde a pérdidas, qué parte a infraestructura y qué parte a deuda acumulada. Prometer bajar tarifas sin resolver esos factores puede generar expectativas difíciles de cumplir. "
